Quantity 1,Description,Customer Part No.,Mouser Part Number
1,,,
16,UCM1H101MCL1GS,UCM1H101MCL1GS,UCM1H101MCL1GS
3,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
2,S3N,S3N,S3N
1,MF-RHT200_32-2,MF-RHT200_32-2,MF-RHT200_32-2
2,DRDNB21D-7,DRDNB21D-7,DRDNB21D-7
1,Conn_01x02,Conn_01x02,Conn_01x02
1,776231-1,776231-1,776231-1
2,Conn_02x08_Counter_Clockwise,Conn_02x08_Counter_Clockwise,Conn_02x08_Counter_Clockwise
2,Conn_02x03_Counter_Clockwise,Conn_02x03_Counter_Clockwise,Conn_02x03_Counter_Clockwise
1,Conn_01x10,Conn_01x10,Conn_01x10
4,AWHSH105D00G,AWHSH105D00G,AWHSH105D00G
1,EC7BW-110S12,EC7BW-110S12,EC7BW-110S12
8,3550150RJT,3550150RJT,3550150RJT
