Quantity 1,Description,Customer Part No.,Mouser Part Number
2,TBP02R2W-381-06BE,TBP02R2W-381-06BE,TBP02R2W-381-06BE
42,UCM1H101MCL1GS,UCM1H101MCL1GS,UCM1H101MCL1GS
13,"Testpoint TH, RED",CBPN-L3UB8-TestPoint,534-5000
8,SZMMSZ4678T1G,SZMMSZ4678T1G,SZMMSZ4678T1G
1,2.54mm 2pin 1row male,CBPN-LNT3S-conn01x02pin,538-22-28-4022
1,RD7-12S033R,RD7-12S033R,RD7-12S033R
2,MAX22530AWE+,MAX22530AWE+,MAX22530AWE+
8,10nF 500V,CBPN-FZHK8-10nF,187-CL32B103KGFNNNE
2,TBP02R2W-381-08BE,TBP02R2W-381-08BE,TBP02R2W-381-08BE
2,LTST-C230CKT,LTST-C230CKT,LTST-C230CKT
10,1k 1210,CBPN-F0NOB-1k,603-RC1210FR-071KL
2,RKE-1205S_H,RKE-1205S_H,RKE-1205S_H
1,SCW20A-12,SCW20A-12,SCW20A-12
2,S3N,S3N,S3N
9,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
1,RaspberryPi_Pico,RaspberryPi_Pico,RaspberryPi_Pico
1,TBP01R2W-508-02BE,TBP01R2W-508-02BE,TBP01R2W-508-02BE
1,TBP01R1-508-04BE,TBP01R1-508-04BE,TBP01R1-508-04BE
1,10uF 25V,CBPN-Z2OBH-10uF,187-CL32A106KAULNNE
6,1uf 50V,CBPN-6J4DK-1uf,187-CL32B105KBHNNNE
1,0 1210,CBPN-VZZ88-0,603-AC1210JR-070RL
8,Thick Film Resistors - SMD 1210 1% 5.1Kohm Anti-Sulfur AEC-Q200,CBPN-OWA73-5k,667-ERJ-U14F5101U
1,MF-RHT200_32-2,MF-RHT200_32-2,MF-RHT200_32-2
5,Conn_02x10_Counter_Clockwise,Conn_02x10_Counter_Clockwise,Conn_02x10_Counter_Clockwise
1,10k 1210,CBPN-B3D5Z-10k,603-AC1210JR-0710KL
