Quantity 1,Description,Customer Part No.,Mouser Part Number
8,UCM1H101MCL1GS,UCM1H101MCL1GS,UCM1H101MCL1GS
30,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
42,10uF 25V,CBPN-Z2OBH-10uF,187-CL32A106KAULNNE
12,BAT54WS-7-F,BAT54WS-7-F,BAT54WS-7-F
6,FM2000GP-TP,FM2000GP-TP,FM2000GP-TP
6,NCD57100DWR2G,NCD57100DWR2G,NCD57100DWR2G
1,Conn_02x08_Counter_Clockwise,Conn_02x08_Counter_Clockwise,Conn_02x08_Counter_Clockwise
3,TBP01R2W-508-06BE,TBP01R2W-508-06BE,TBP01R2W-508-06BE
1,LTST-C230GKT,LTST-C230GKT,LTST-C230GKT
1,LTST-C230CKT,LTST-C230CKT,LTST-C230CKT
6,MGJ2D121509MPC-R7,MGJ2D121509MPC-R7,MGJ2D121509MPC-R7
1,4.7k 1210,CBPN-5Z102-47k,71-CRCW12104K70FKEAH
1,220 1210,CBPN-SZ7LV-220,603-RC1210FR-07220RL
12,2.7 ohm 1210,CBPN-VEDNZ-27,667-ERJ-14BQF2R7U
12,1k 1210,CBPN-F0NOB-1k,603-RC1210FR-071KL
4,"Testpoint TH, RED",CBPN-L3UB8-TestPoint,534-5000
1,BTS462TATMA1,BTS462TATMA1,BTS462TATMA1
