Quantity 1,Description,Customer Part No.,Mouser Part Number
5,22pF 50V,CBPN-XGV7B-22pF,80-C1210C220J5G
9,1k 1210,CBPN-F0NOB-1k,603-RC1210FR-071KL
8,SZMMSZ4678T1G,SZMMSZ4678T1G,SZMMSZ4678T1G
10,"Testpoint TH, RED",CBPN-L3UB8-TestPoint,534-5000
12,10uF 25V,CBPN-Z2OBH-10uF,187-CL32A106KAULNNE
1,LTST-C230CKT,LTST-C230CKT,LTST-C230CKT
1,ISO1042BDWVR,ISO1042BDWVR,ISO1042BDWVR
12,UCM1H101MCL1GS,UCM1H101MCL1GS,UCM1H101MCL1GS
5,Conn_02x10_Counter_Clockwise,Conn_02x10_Counter_Clockwise,Conn_02x10_Counter_Clockwise
16,Thick Film Resistors - SMD 1/2watt 249Kohms 1%,CBPN-MZWIW-250k,71-CRCW1210-249K-E3
2,MAX22530AWE+,MAX22530AWE+,MAX22530AWE+
8,10nF 500V,CBPN-FZHK8-10nF,187-CL32B103KGFNNNE
4,RKE-1205S_H,RKE-1205S_H,RKE-1205S_H
3,AWHSH105D00G,AWHSH105D00G,AWHSH105D00G
10,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
1,MCP2515-e_ST,MCP2515-e_ST,MCP2515-e_ST
1,8mhz hc49-4h crystal,CBPN-QQUPE-8mhz,710-830003156B
2,DRDNB21D-7,DRDNB21D-7,DRDNB21D-7
6,1uf 50V,CBPN-6J4DK-1uf,187-CL32B105KBHNNNE
4,Thick Film Resistors - SMD 1210 2Kohms 0.5W 5% AEC-Q200,CBPN-9GSLA-2k,667-ERJ-P14J202U
1,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003
1,TBP01R1-508-06BE,TBP01R1-508-06BE,TBP01R1-508-06BE
1,REC10K-2424DAW_H2,REC10K-2424DAW_H2,REC10K-2424DAW_H2
3,Conn_02x08_Counter_Clockwise,Conn_02x08_Counter_Clockwise,Conn_02x08_Counter_Clockwise
4,Thick Film Resistors - SMD 1210 1% 5.1Kohm Anti-Sulfur AEC-Q200,CBPN-OWA73-5k,667-ERJ-U14F5101U
1,TBP01R2-508-06BE,TBP01R2-508-06BE,TBP01R2-508-06BE
1,120 1210,CBPN-K6UIE-120,603-AC1210FR-07120RL
1,4.7k 1210,CBPN-5Z102-47k,71-CRCW12104K70FKEAH
