"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1,J2";"TBP02R2W38106BE";2;"TBP02R2W-381-06BE";;;
2;"C174,C166,C163,C157,C169,C177,C160,C179,C171,C147,C154,C161,C172,C165,C181,C155,C167,C178,C173,C145,C162,C158,C170,C159,C156,C164,C168,C175,C176,C140,C151,C153,C148,C146,C152,C142,C149,C144,C141,C150,C143,C180";"CAPAE660X800N";42;"UCM1H101MCL1GS";;;
3;"TP12,TP29,TP33,TP32,TP34,TP24,TP11,TP23,TP21,TP31,TP22,TP35,TP30";"TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded";13;"TestPoint";;;
4;"Z11,Z10,Z14,Z12,Z15,Z16,Z9,Z13";"SOD3716X135N";8;"SZMMSZ4678T1G";;;
5;"J29";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
6;"PS6";"RD712S033R";1;"RD7-12S033R";;;
7;"IC3,IC4";"SOIC127P1032X265-16N";2;"MAX22530AWE+";;;
8;"C117,C123,C120,C118,C122,C119,C121,C116";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";8;"10nF";;;
9;"J8,J7";"TBP02R2W38108BE";2;"TBP02R2W-381-08BE";;;
10;"LED3,LED4";"LEDC3216X120N";2;"LTST-C230CKT";;;
11;"R119,R6,R109,R7,R111,R117,R115,R121,R113,R107";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";10;"1k";;;
12;"PS2,PS3";"RKE1205SH";2;"RKE-1205S_H";;;
13;"PS1";"SCW20A12";1;"SCW20A-12";;;
14;"D3,D4";"DIOM8059X265N";2;"S3N";;;
15;"C17,C19,C20,C50,C14,C132,C52,C13,C18";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";9;"100nF";;;
16;"A1";"RaspberryPi_Pico_Common_THT";1;"RaspberryPi_Pico";;;
17;"J3";"TBP01R2W50802BE";1;"TBP01R2W-508-02BE";;;
18;"J4";"TBP01R150804BE";1;"TBP01R1-508-04BE";;;
19;"C133";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"10uF";;;
20;"C16,C49,C51,C15,C23,C21";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";6;"1uF";;;
21;"R12";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"0";;;
22;"R120,R116,R118,R112,R108,R110,R114,R122";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";8;"5k";;;
23;"F1";"MFRHT200322";1;"MF-RHT200_32-2";;;
24;"J5,J12,J13,J14,J11";"PinSocket_2x10_P2.54mm_Vertical";5;"Conn_02x10_Counter_Clockwise";;;
25;"R13";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"10k";;;
