"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C74, C75, C77, C78, C80, C81, C82";"CAPAE660X800N";8;"UCM1H101MCL1GS";;;
2;"C2, C5, C6, C9, C13, C14, C17, C18, C21, C25, C26, C29, C30, C33, C37, C38, C41, C42, C45, C49, C50, C53, C54, C57, C61, C62, C65, C66, C69, C73";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";30;"100nF";;;
3;"C3, C4, C7, C8, C10, C11, C12, C15, C16, C19, C20, C22, C23, C24, C27, C28, C31, C32, C34, C35, C36, C39, C40, C43, C44, C46, C47, C48, C51, C52, C55, C56, C58, C59, C60, C63, C64, C67, C68, C70, C71, C72";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";42;"10uF";;;
4;"D1, D2, D4, D5, D7, D8, D10, D11, D13, D14, D16, D17";"SOD2513X120N";12;"BAT54WS-7-F";;;
5;"D3, D6, D9, D12, D15, D18";"DIOM5226X244N";6;"FM2000GP-TP";;;
6;"IC1, IC2, IC3, IC4, IC5, IC6";"SOIC127P1030X265-16N";6;"NCD57100DWR2G";;;
7;"J1";"PinHeader_2x08_P2.54mm_Vertical";1;"Conn_02x08_Counter_Clockwise";;;
8;"J2, J3, J4";"SHDR6W100P0X508_1X6_4064X850X1240P";3;"TBP01R2W-508-06BE";;;
9;"LED1";"LEDC3216X120N";1;"LTST-C230GKT";;;
10;"LED2";"LEDC3216X120N";1;"LTST-C230CKT";;;
11;"PS1, PS2, PS3, PS4, PS5, PS6";"MGJ2D121509MPCR7";6;"MGJ2D121509MPC-R7";;;
12;"R1";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"4.7k";;;
13;"R2";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"220";;;
14;"R3, R4, R7, R8, R11, R12, R15, R16, R19, R20, R23, R24";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";12;"2.7";;;
15;"R5, R6, R9, R10, R13, R14, R17, R18, R21, R22, R25, R26";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";12;"1k";;;
16;"TP1, TP2, TP3, TP4";"TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded";4;"TestPoint";;;
17;"U5";"TO-252-4";1;"BTS462TATMA1";;;
