"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"";"";1;"";;;
2;"C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51";"CAPAE660X800N";16;"UCM1H101MCL1GS";;;
3;"C187, C188, C189";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";3;"100nF";;;
4;"D3, D4";"DIOM8059X265N";2;"S3N";;;
5;"F1";"MFRHT200322";1;"MF-RHT200_32-2";;;
6;"IC10, IC11";"SOT65P210X110-6N";2;"DRDNB21D-7";;;
7;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
8;"J6";"7762311";1;"776231-1";;;
9;"J7, J12";"PinHeader_2x08_P2.54mm_Vertical";2;"Conn_02x08_Counter_Clockwise";;;
10;"J10, J13";"PinHeader_2x03_P2.54mm_Vertical";2;"Conn_02x03_Counter_Clockwise";;;
11;"J14";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10";;;
12;"K1, K2, K3, K4";"AWHSH105D00G";4;"AWHSH105D00G";;;
13;"PS3";"EC7BW110S12";1;"EC7BW-110S12";;;
14;"R1, R2, R3, R4, R7, R8, R9, R10";"RESC11050X120N";8;"3550150RJT";;;
