Quantity,Order Qty,Pack Size,Leftover,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N,Unit Price,Line Total
8,8,,,HW-C2-3DP-DC-LINK-MODULE-HOLDER-SP-A,DC Link Module Holder Spacer - Printed,,DC Link Module Holder Spacer - Printed,sendcutsend,DC Link Module Holder Spacer - Printed,,
5,5,,,HW-C2-3DP-DCLSPCR-PRINTED-A,HW-C2-DCLSPCR-PRINTED-B,,HW-C2-DCLSPCR-PRINTED-B,sendcutsend,HW-C2-DCLSPCR-PRINTED-B,,
3,3,,,HW-C2-3DP-SHELL-PRINTED-A,HW-C2-SHELL-PRINTED-A,,HW-C2-SHELL-PRINTED-A,sendcutsend,HW-C2-SHELL-PRINTED-A,,
2,2,,,HW-C2-BB-DCLBB-A,HW-C2-DCLBB-A,,HW-C2-DCLBB-A,sendcutsend,HW-C2-DCLBB-A,52.6400,105.28
3,3,,,HW-C2-BB-PBB-A,HW-C2-PBB-A,,HW-C2-PBB-A,sendcutsend,HW-C2-PBB-A,20.3200,60.96
88,88,,,HW-C2-CAP-100N-A,100nF 100V,CBPN-JMGYO-100nF,100nF,mouser,80-C1210C104K1RAC,0.1610,14.17
27,27,,,HW-C2-CAP-10N-A,10nF 500V,CBPN-FZHK8-10nF,10nF,mouser,187-CL32B103KGFNNNE,0.1430,3.86
47,47,,,HW-C2-CAP-10U-A,10uF 25V,CBPN-Z2OBH-10uF,10uF,mouser,187-CL32A106KAULNNE,0.1340,6.30
10,10,,,HW-C2-CAP-1U-A,1uf 50V,CBPN-6J4DK-1uf,1uF,mouser,187-CL32B105KBHNNNE,0.2400,2.40
4,4,,,HW-C2-CAP-2U2-A,2.2uf 1210 100v,CBPN-X4VU0-22uf,2.2uF,mouser,80-C1210C225J1RAUTO,0.5200,2.08
8,8,,,HW-C2-CAP-220P-A,220pF 100V C0G 1210,,220pF,mouser,80-C1210C221J2G,0.8800,7.04
6,6,,,HW-C2-CAP-22P-A,22pF 50V,CBPN-XGV7B-22pF,22pF,mouser,80-C1210C220J5G,0.7400,4.44
