Quantity,Internal P/N,Description,Customer Part No.,Manufacturer Part No.,Vendor,Vendor P/N
1,HW-C2-MECH-90128A232-A,90128A232,,90128A232,mcmaster,90128A232
1,HW-C2-MECH-90225A102-A,90225A102,,90225A102,mcmaster,90225A102
1,HW-C2-MECH-91292A134-A,91292A134,,91292A134,mcmaster,91292A134
1,HW-C2-MECH-91294A220-A,91294A220,,91294A220,mcmaster,91294A220
1,HW-C2-MECH-91502A180-A,91502A180,,91502A180,mcmaster,91502A180
1,HW-C2-MECH-91502A183-A,91502A183,,91502A183,mcmaster,91502A183
6,HW-C2-MECH-94669A190-A,94669A190,,94669A190,mcmaster,94669A190
6,HW-C2-MECH-94669A196-A,94669A196,,94669A196,mcmaster,94669A196
6,HW-C2-MECH-94669A199-A,94669A199,,94669A199,mcmaster,94669A199
6,HW-C2-MECH-94669A202-A,94669A202,,94669A202,mcmaster,94669A202
2,HW-C2-MECH-98044A224-A,98044A224,,98044A224,mcmaster,98044A224
