Mouser Part Number,qty,Manufacturer Part Number,Customer Part Number,Description
80-C1210C104K1RAC,88,100nF,HW-C2-CAP-100N-A,100nF 100V
187-CL32B103KGFNNNE,27,10nF,HW-C2-CAP-10N-A,10nF 500V
187-CL32A106KAULNNE,47,10uF,HW-C2-CAP-10U-A,10uF 25V
187-CL32B105KBHNNNE,10,1uF,HW-C2-CAP-1U-A,1uf 50V
80-C1210C225J1RAUTO,4,2.2uF,HW-C2-CAP-2U2-A,2.2uf 1210 100v
80-C1210C221J2G,8,220pF,HW-C2-CAP-220P-A,220pF 100V C0G 1210
80-C1210C220J5G,6,22pF,HW-C2-CAP-22P-A,22pF 50V
710-830003156B,4,8MHz,HW-C2-IC-8MHZ-A,8mhz hc49-4h crystal
727-CY15B102Q-SXET,1,CY15B102Q-SXET,HW-C2-IC-CY15B102Q-SXET-A,CY15B102Q-SXET
595-ISO1042BDWVR,4,ISO1042BDWVR,HW-C2-IC-ISO1042BDWVR-A,ISO1042BDWVR
595-ISO1212DBQ,1,ISO1212DBQ,HW-C2-IC-ISO1212DBQ-A,ISO1212DBQ
700-MAX22530AWE+,1,MAX22530AWE+,HW-C2-IC-MAX22530AWE-A,MAX22530AWE+
863-NCV57100DWR2G,6,NCV57100DWR2G,HW-C2-IC-NCV57100DWR2G-A,NCV57100DWR2G
511-STM32G474RCT3,1,STM32G474RCT3,HW-C2-IC-STM32G474RCT3-A,STM32G474RCT3
511-STM32H723ZGT6,1,STM32H723ZGT6,HW-C2-IC-STM32H723ZGT6-A,STM32H723ZGT6
200-SSW11001FD,1,SSW-110-01-F-D,HW-C2-CONN-SSW-110-01-F-D-A,SSW-110-01-F-D
200-TSW11021LDLL,1,TSW-110-21-L-D-LL,HW-C2-CONN-TSW-110-21-L-D-LL-A,TSW-110-21-L-D-LL
,10,0022011042,HW-C2-HW-0022011042-A,0022011042
,40,08-50-0113,HW-C2-HW-08-50-0113-A,08-50-0113
538-22-04-1041,6,22-04-1041,HW-C2-HW-22-04-1041-A,22-04-1041
306-XHP-2,5,455-2266-ND,HW-C2-HW-455-2266-ND-A,455-2266-ND
305-464762,32,464762-E,HW-C2-HW-464762-E-A,464762-E
305-524265-E,5,524265-E,HW-C2-HW-524265-E-A,524265-E
