Qty,Vendor,PN,Description
1,Mouser,951-GP1500-080-02,Thermal gap pad
1,McMaster,1821A55,Dielectric grease
8,McMaster,90128A232,
5,McMaster,90225A102,
18,McMaster,91292A134,
4,McMaster,91294A220,
1,McMaster,91458A112,Loctite 242 threadlocker 0.34 oz
6,McMaster,91502A180,
6,McMaster,91502A183,
6,McMaster,94669A190,
6,McMaster,94669A196,
12,McMaster,94669A199,
2,McMaster,94669A202,
25,McMaster,98044A224,
3,Mouser,CM600DY-24T,IGBT module (CM600DY-13T recommended for 200-450 V; 24T also compatible)
8,McMaster,6926K352,6926K352_Tin-Plated Copper Compression Lug
5,McMaster,6926K56,6926K56_Tin-Plated Copper Compression Lug
1,McMaster,7381K23,7381K23_Threaded Plug for Enclosures
4,McMaster,91292A108,91292A108_18-8 Stainless Steel Socket Head Screw
4,McMaster,94180A351,94180A351_Brass Tapered Heat-Set Inserts for Plastic
12,McMaster,96738A257,96738A257_18-8 Stainless Steel Vibration-Resistant Sealing Socket Head Screw
